entry_time,exit_time,side,entry_price,exit_price,bars_held,gross_return,exit_reason
2019-04-17 22:15:00,2019-04-17 22:45:00,short,3526.0,3525.0,2,0.0002836074872376631,时间止损
2019-04-19 00:15:00,2019-04-19 00:45:00,short,3531.0,3532.0,2,-0.0002832058906825262,时间止损
2019-04-23 22:45:00,2019-04-23 23:15:00,short,3499.0,3497.0,2,0.0005715918833952558,时间止损
2019-04-25 22:30:00,2019-04-25 23:00:00,short,3542.0,3541.0,2,0.000282326369282891,时间止损
2019-04-30 14:30:00,2019-05-06 09:00:00,short,3531.0,3540.0,2,-0.002548853016142736,时间止损
2019-05-06 14:15:00,2019-05-06 14:45:00,short,3538.0,3532.0,2,0.0016958733747880158,时间止损
2019-05-06 21:15:00,2019-05-06 21:45:00,short,3523.0,3532.0,2,-0.002554640931024695,时间止损
2019-05-07 21:15:00,2019-05-07 21:45:00,short,3543.0,3539.0,2,0.0011289867344058708,时间止损
2019-05-08 22:00:00,2019-05-08 22:30:00,short,3605.0,3598.0,2,0.001941747572815534,时间止损
2019-05-09 23:15:00,2019-05-09 23:45:00,long,3604.0,3603.0,2,-0.0002774694783573807,时间止损
2019-05-10 01:15:00,2019-05-10 01:45:00,short,3598.0,3600.0,2,-0.0005558643690939411,时间止损
2019-05-16 22:15:00,2019-05-16 22:45:00,short,3599.0,3592.0,2,0.001944984717977216,时间止损
2019-05-16 23:00:00,2019-05-16 23:30:00,short,3590.0,3580.0,2,0.002785515320334262,时间止损
2019-05-21 22:15:00,2019-05-21 22:45:00,long,3558.0,3566.0,2,0.0022484541877459247,时间止损
2019-05-22 14:30:00,2019-05-22 21:00:00,short,3556.0,3562.0,2,-0.001687289088863892,时间止损
2019-05-24 00:45:00,2019-05-24 01:15:00,long,3591.0,3592.0,2,0.000278473962684489,时间止损
2019-05-27 23:00:00,2019-05-27 23:30:00,short,3581.0,3581.0,2,0.0,时间止损
2019-06-03 09:00:00,2019-06-03 09:30:00,long,3596.0,3603.0,2,0.001946607341490545,时间止损
2019-06-03 21:00:00,2019-06-03 21:30:00,long,3605.0,3606.0,2,0.00027739251040221914,时间止损
2019-06-04 23:15:00,2019-06-04 23:45:00,long,3611.0,3612.0,2,0.00027693159789531985,时间止损
2019-06-06 14:15:00,2019-06-06 14:45:00,short,3637.0,3639.0,2,-0.0005499037668408029,时间止损
2019-06-11 11:00:00,2019-06-11 13:30:00,short,3598.0,3607.0,2,-0.0025013896609227346,时间止损
2019-06-13 11:15:00,2019-06-13 13:45:00,short,3617.0,3626.0,2,-0.0024882499308819463,时间止损
2019-06-15 00:15:00,2019-06-15 00:45:00,short,3656.0,3657.0,2,-0.0002735229759299781,时间止损
2019-06-17 10:30:00,2019-06-17 11:00:00,short,3642.0,3643.0,2,-0.0002745744096650192,时间止损
2019-06-18 22:30:00,2019-06-18 23:00:00,short,3636.0,3656.0,2,-0.005500550055005501,时间止损
2019-06-19 09:30:00,2019-06-19 10:00:00,short,3642.0,3643.0,2,-0.0002745744096650192,时间止损
2019-06-21 11:00:00,2019-06-21 13:30:00,short,3748.0,3734.0,2,0.003735325506937033,时间止损
2019-06-21 22:45:00,2019-06-21 23:15:00,long,3704.0,3711.0,2,0.0018898488120950325,时间止损
2019-06-22 02:00:00,2019-06-24 09:00:00,long,3711.0,3727.0,2,0.004311506332524926,时间止损
2019-06-26 14:30:00,2019-06-26 21:00:00,short,3703.0,3708.0,2,-0.0013502565487442614,时间止损
2019-07-02 01:30:00,2019-07-02 02:00:00,short,3662.0,3661.0,2,0.00027307482250136535,时间止损
2019-07-04 14:15:00,2019-07-04 14:45:00,short,3694.0,3690.0,2,0.0010828370330265296,时间止损
2019-07-05 21:15:00,2019-07-05 21:45:00,short,3662.0,3652.0,2,0.002730748225013654,时间止损
2019-07-10 22:00:00,2019-07-10 22:30:00,short,3679.0,3681.0,2,-0.0005436259853220984,时间止损
2019-07-12 13:45:00,2019-07-12 14:15:00,short,3661.0,3665.0,2,-0.0010925976509150504,时间止损
2019-07-17 11:15:00,2019-07-17 13:45:00,long,3777.0,3775.0,2,-0.0005295207836907599,时间止损
2019-07-18 14:15:00,2019-07-18 14:45:00,short,3878.0,3866.0,2,0.0030943785456420837,时间止损
2019-07-18 21:00:00,2019-07-18 21:30:00,short,3902.0,3886.0,2,0.004100461301896463,时间止损
2019-07-19 23:15:00,2019-07-19 23:45:00,long,3915.0,3906.0,2,-0.0022988505747126436,时间止损
2019-07-20 01:45:00,2019-07-20 02:15:00,short,3912.0,3911.0,2,0.0002556237218813906,时间止损
2019-07-22 22:45:00,2019-07-22 23:15:00,long,3960.0,3958.0,2,-0.000505050505050505,时间止损
2019-07-23 09:45:00,2019-07-23 10:30:00,long,3922.0,3920.0,2,-0.0005099439061703213,时间止损
2019-07-24 23:00:00,2019-07-24 23:30:00,short,3999.0,3994.0,2,0.001250312578144536,时间止损
2019-07-25 09:15:00,2019-07-25 09:45:00,short,3985.0,3987.0,2,-0.0005018820577164366,时间止损
2019-07-25 21:45:00,2019-07-25 22:15:00,short,3962.0,3971.0,2,-0.002271580010095911,时间止损
2019-07-26 09:45:00,2019-07-26 10:30:00,short,3953.0,3955.0,2,-0.0005059448520111307,时间止损
2019-07-27 01:15:00,2019-07-27 01:45:00,short,3952.0,3951.0,2,0.00025303643724696357,时间止损
2019-07-29 10:30:00,2019-07-29 11:00:00,short,3957.0,3957.0,2,0.0,时间止损
2019-07-30 09:45:00,2019-07-30 10:30:00,long,3961.0,3969.0,2,0.002019691996970462,时间止损
2019-07-30 22:15:00,2019-07-30 22:45:00,short,3969.0,3974.0,2,-0.0012597631645250692,时间止损
2019-08-02 14:45:00,2019-08-02 21:15:00,short,3913.0,3906.0,2,0.0017889087656529517,时间止损
2019-08-02 23:30:00,2019-08-03 00:00:00,short,3945.0,3948.0,2,-0.0007604562737642585,时间止损
2019-08-05 21:30:00,2019-08-05 22:00:00,short,4075.0,4081.0,2,-0.00147239263803681,时间止损
2019-08-07 00:00:00,2019-08-07 00:30:00,short,4051.0,4050.0,2,0.00024685262898049864,时间止损
2019-08-07 10:45:00,2019-08-07 11:15:00,short,4130.0,4137.0,2,-0.001694915254237288,时间止损
2019-08-10 00:45:00,2019-08-10 01:15:00,short,4206.0,4203.0,2,0.0007132667617689016,时间止损
2019-08-12 22:30:00,2019-08-12 23:00:00,short,4197.0,4212.0,2,-0.0035739814152966403,时间止损
2019-08-13 22:30:00,2019-08-13 23:00:00,long,4156.0,4167.0,2,0.0026467757459095282,时间止损
2019-08-14 10:00:00,2019-08-14 10:45:00,long,4170.0,4172.0,2,0.00047961630695443646,时间止损
2019-08-14 22:45:00,2019-08-14 23:15:00,long,4228.0,4243.0,2,0.003547776726584674,时间止损
2019-08-15 00:00:00,2019-08-15 00:30:00,long,4245.0,4247.0,2,0.0004711425206124853,时间止损
2019-08-19 13:45:00,2019-08-19 14:15:00,short,4190.0,4195.0,2,-0.0011933174224343676,时间止损
2019-08-20 09:00:00,2019-08-20 09:30:00,short,4173.0,4173.0,2,0.0,时间止损
2019-08-22 00:30:00,2019-08-22 01:00:00,long,4224.0,4221.0,2,-0.0007102272727272727,时间止损
2019-08-22 23:45:00,2019-08-23 00:15:00,short,4224.0,4218.0,2,0.0014204545454545455,时间止损
2019-08-26 13:30:00,2019-08-26 14:00:00,long,4399.0,4393.0,2,-0.00136394635144351,时间止损
2019-08-28 11:15:00,2019-08-28 13:45:00,long,4513.0,4541.0,2,0.006204298692665633,时间止损
2019-08-29 01:00:00,2019-08-29 01:30:00,long,4569.0,4572.0,2,0.0006565988181221273,时间止损
2019-08-29 21:45:00,2019-08-29 22:15:00,long,4610.0,4622.0,2,0.0026030368763557484,时间止损
2019-08-30 22:45:00,2019-08-30 23:15:00,short,4561.0,4573.0,2,-0.00263100197325148,时间止损
2019-09-02 09:45:00,2019-09-02 10:30:00,short,4555.0,4553.0,2,0.0004390779363336992,时间止损
2019-09-04 00:45:00,2019-09-04 01:15:00,long,4781.0,4783.0,2,0.0004183225266680611,时间止损
2019-09-04 21:00:00,2019-09-04 21:30:00,long,4830.0,4813.0,2,-0.0035196687370600416,时间止损
2019-09-04 23:15:00,2019-09-04 23:45:00,short,4808.0,4815.0,2,-0.0014559068219633944,时间止损
2019-09-05 23:00:00,2019-09-05 23:30:00,long,4668.0,4667.0,2,-0.00021422450728363326,时间止损
2019-09-06 10:45:00,2019-09-06 11:15:00,short,4610.0,4583.0,2,0.005856832971800434,时间止损
2019-09-06 14:45:00,2019-09-06 21:00:00,short,4570.0,4645.0,1,-0.016411378555798686,止损
2019-09-06 22:00:00,2019-09-06 22:30:00,short,4605.0,4610.0,2,-0.0010857763300760044,时间止损
2019-09-09 23:30:00,2019-09-10 00:00:00,short,4450.0,4446.0,2,0.0008988764044943821,时间止损
2019-09-10 09:15:00,2019-09-10 09:45:00,short,4383.0,4407.0,2,-0.0054757015742642025,时间止损
2019-09-11 10:30:00,2019-09-11 11:00:00,short,4474.0,4476.0,2,-0.0004470272686633885,时间止损
2019-09-11 21:00:00,2019-09-11 21:30:00,short,4428.0,4441.0,2,-0.002935862691960253,时间止损
2019-09-12 02:15:00,2019-09-12 09:15:00,long,4470.0,4461.0,2,-0.0020134228187919465,时间止损
2019-09-12 10:45:00,2019-09-12 11:15:00,short,4442.0,4446.0,2,-0.0009004952723998199,时间止损
2019-09-17 09:45:00,2019-09-17 10:30:00,long,4410.0,4402.0,2,-0.0018140589569160999,时间止损
2019-09-18 09:00:00,2019-09-18 09:30:00,short,4419.0,4422.0,2,-0.0006788866259334691,时间止损
2019-09-18 11:00:00,2019-09-18 13:30:00,short,4417.0,4415.0,2,0.0004527960153950645,时间止损
2019-09-18 13:45:00,2019-09-18 14:15:00,short,4410.0,4408.0,2,0.00045351473922902497,时间止损
2019-09-23 11:15:00,2019-09-23 13:45:00,long,4532.0,4536.0,2,0.00088261253309797,时间止损
2019-09-23 21:00:00,2019-09-23 21:30:00,long,4583.0,4572.0,2,-0.0024001745581496837,时间止损
2019-09-25 02:15:00,2019-09-25 09:15:00,short,4568.0,4590.0,2,-0.004816112084063047,时间止损
2019-09-25 21:15:00,2019-09-25 21:45:00,short,4569.0,4580.0,2,-0.0024075289997811337,时间止损
2019-09-26 02:00:00,2019-09-26 09:00:00,short,4436.0,4457.0,2,-0.004733994589720469,时间止损
2019-09-27 00:15:00,2019-09-27 00:45:00,short,4422.0,4417.0,2,0.0011307100859339666,时间止损
2019-10-09 21:45:00,2019-10-09 22:15:00,short,4398.0,4401.0,2,-0.0006821282401091405,时间止损
2019-10-10 14:30:00,2019-10-10 21:00:00,short,4360.0,4365.0,2,-0.0011467889908256881,时间止损
2019-10-12 01:30:00,2019-10-12 02:00:00,short,4302.0,4305.0,2,-0.000697350069735007,时间止损
2019-10-15 13:45:00,2019-10-15 14:15:00,short,4326.0,4317.0,2,0.0020804438280166435,时间止损
2019-10-15 14:30:00,2019-10-15 21:00:00,short,4320.0,4313.0,2,0.0016203703703703703,时间止损
2019-10-15 22:45:00,2019-10-15 23:15:00,short,4292.0,4297.0,2,-0.0011649580615097856,时间止损
2019-10-21 23:15:00,2019-10-21 23:45:00,short,4325.0,4327.0,2,-0.00046242774566473987,时间止损
2019-10-22 14:30:00,2019-10-22 21:00:00,short,4311.0,4312.0,2,-0.00023196474135931338,时间止损
2019-10-28 22:30:00,2019-10-28 23:00:00,long,4379.0,4379.0,2,0.0,时间止损
2019-10-29 14:45:00,2019-10-29 21:15:00,short,4346.0,4328.0,2,0.0041417395306028535,时间止损
2019-10-30 02:00:00,2019-10-30 09:00:00,short,4368.0,4358.0,2,0.0022893772893772895,时间止损
2019-10-30 11:15:00,2019-10-30 13:45:00,long,4356.0,4351.0,2,-0.001147842056932966,时间止损
2019-11-01 14:15:00,2019-11-01 14:45:00,long,4394.0,4400.0,2,0.0013654984069185253,时间止损
2019-11-01 23:30:00,2019-11-02 00:00:00,long,4388.0,4393.0,2,0.0011394712853236098,时间止损
2019-11-02 02:15:00,2019-11-04 09:15:00,long,4387.0,4398.0,2,0.00250740825165261,时间止损
2019-11-06 00:00:00,2019-11-06 00:30:00,short,4276.0,4262.0,2,0.003274087932647334,时间止损
2019-11-07 22:15:00,2019-11-07 22:45:00,short,4238.0,4233.0,2,0.0011798017932987258,时间止损
2019-11-09 01:15:00,2019-11-09 01:45:00,short,4077.0,4076.0,2,0.0002452783909737552,时间止损
2019-11-09 02:15:00,2019-11-11 09:15:00,long,4081.0,4089.0,2,0.0019603038470963,时间止损
2019-11-11 21:15:00,2019-11-11 21:45:00,short,4086.0,4085.0,2,0.0002447381302006853,时间止损
2019-11-12 10:45:00,2019-11-12 11:15:00,short,4087.0,4087.0,2,0.0,时间止损
2019-11-12 22:15:00,2019-11-12 22:45:00,long,4073.0,4066.0,2,-0.001718634912840658,时间止损
2019-11-20 09:15:00,2019-11-20 09:45:00,short,4172.0,4174.0,2,-0.00047938638542665386,时间止损
2019-11-20 11:15:00,2019-11-20 13:45:00,short,4174.0,4185.0,2,-0.002635361763296598,时间止损
2019-11-21 00:15:00,2019-11-21 00:45:00,long,4161.0,4163.0,2,0.0004806536890170632,时间止损
2019-11-21 21:15:00,2019-11-21 21:45:00,short,4156.0,4163.0,2,-0.0016843118383060634,时间止损
2019-11-25 14:30:00,2019-11-25 21:00:00,long,4117.0,4115.0,2,-0.00048579062424095217,时间止损
2019-11-26 21:15:00,2019-11-26 21:45:00,short,4127.0,4128.0,2,-0.000242306760358614,时间止损
2019-11-27 21:45:00,2019-11-27 22:15:00,short,4135.0,4132.0,2,0.0007255139056831923,时间止损
2019-11-28 11:00:00,2019-11-28 13:30:00,short,4140.0,4144.0,2,-0.000966183574879227,时间止损
2019-11-28 22:45:00,2019-11-28 23:15:00,long,4137.0,4135.0,2,-0.00048344210780759005,时间止损
2019-12-04 22:45:00,2019-12-04 23:15:00,short,4192.0,4175.0,2,0.0040553435114503815,时间止损
2019-12-06 00:00:00,2019-12-06 00:30:00,short,4174.0,4179.0,2,-0.0011978917105893627,时间止损
2019-12-09 22:00:00,2019-12-09 22:30:00,long,4082.0,4076.0,2,-0.0014698677119059284,时间止损
2019-12-11 09:45:00,2019-12-11 10:30:00,short,4082.0,4083.0,2,-0.0002449779519843214,时间止损
2019-12-13 23:45:00,2019-12-14 00:15:00,long,4126.0,4140.0,2,0.0033931168201648087,时间止损
2019-12-18 09:45:00,2019-12-18 10:30:00,short,4143.0,4143.0,2,0.0,时间止损
2019-12-19 13:45:00,2019-12-19 14:15:00,short,4143.0,4144.0,2,-0.0002413709872073377,时间止损
2019-12-19 22:45:00,2019-12-19 23:15:00,short,4150.0,4148.0,2,0.00048192771084337347,时间止损
2019-12-25 11:00:00,2019-12-25 13:30:00,short,4312.0,4308.0,2,0.0009276437847866419,时间止损
2019-12-25 14:45:00,2019-12-25 21:00:00,long,4312.0,4371.0,1,0.01368274582560297,分歧延续
2019-12-28 00:00:00,2019-12-28 00:30:00,short,4410.0,4414.0,2,-0.0009070294784580499,时间止损
2019-12-30 22:00:00,2019-12-30 22:30:00,long,4395.0,4405.0,2,0.0022753128555176336,时间止损
2019-12-31 11:00:00,2019-12-31 13:30:00,short,4455.0,4446.0,2,0.00202020202020202,时间止损
2020-01-02 09:15:00,2020-01-02 09:45:00,short,4387.0,4377.0,2,0.0022794620469569183,时间止损
2020-01-03 01:00:00,2020-01-03 01:30:00,long,4416.0,4414.0,2,-0.0004528985507246377,时间止损
2020-01-04 00:15:00,2020-01-04 00:45:00,short,4440.0,4439.0,2,0.00022522522522522523,时间止损
2020-01-04 01:15:00,2020-01-04 01:45:00,short,4439.0,4439.0,2,0.0,时间止损
2020-01-06 11:15:00,2020-01-06 13:45:00,long,4532.0,4520.0,2,-0.00264783759929391,时间止损
2020-01-06 23:30:00,2020-01-07 00:00:00,short,4436.0,4453.0,2,-0.003832281334535618,时间止损
2020-01-08 11:00:00,2020-01-08 13:30:00,short,4523.0,4536.0,2,-0.00287419854079151,时间止损
2020-01-09 02:15:00,2020-01-09 09:15:00,short,4429.0,4429.0,2,0.0,时间止损
2020-01-09 10:45:00,2020-01-09 11:15:00,short,4426.0,4394.0,2,0.0072300045187528245,时间止损
2020-01-09 14:30:00,2020-01-09 21:00:00,short,4332.0,4361.0,2,-0.006694367497691598,时间止损
2020-01-13 14:30:00,2020-01-13 21:00:00,short,4358.0,4355.0,2,0.0006883891693437356,时间止损
2020-01-13 21:30:00,2020-01-13 22:00:00,long,4355.0,4357.0,2,0.0004592422502870264,时间止损
2020-01-14 01:30:00,2020-01-14 02:00:00,short,4346.0,4341.0,2,0.001150483202945237,时间止损
2020-01-14 09:15:00,2020-01-14 09:45:00,short,4277.0,4279.0,2,-0.00046761748889408465,时间止损
2020-01-14 10:45:00,2020-01-14 11:15:00,short,4282.0,4286.0,2,-0.0009341429238673517,时间止损
2020-01-15 21:15:00,2020-01-15 21:45:00,short,4292.0,4327.0,2,-0.008154706430568499,时间止损
2020-01-16 10:30:00,2020-01-16 11:00:00,short,4328.0,4322.0,2,0.0013863216266173752,时间止损
2020-01-16 23:45:00,2020-01-17 00:15:00,short,4315.0,4317.0,2,-0.0004634994206257242,时间止损
2020-02-04 09:00:00,2020-02-04 09:30:00,short,4322.0,4303.0,2,0.004396112910689496,时间止损
2020-02-05 10:45:00,2020-02-05 11:15:00,long,4290.0,4306.0,2,0.0037296037296037296,时间止损
2020-02-10 11:15:00,2020-02-10 13:45:00,long,4318.0,4315.0,2,-0.0006947660954145438,时间止损
2020-02-12 10:30:00,2020-02-12 11:00:00,long,4272.0,4269.0,2,-0.0007022471910112359,时间止损
2020-02-12 13:30:00,2020-02-12 14:00:00,short,4249.0,4252.0,2,-0.0007060484819957637,时间止损
2020-02-12 14:15:00,2020-02-12 14:45:00,long,4255.0,4255.0,2,0.0,时间止损
2020-02-28 11:00:00,2020-02-28 13:30:00,short,4261.0,4223.0,2,0.008918094344050692,时间止损
2020-02-28 13:45:00,2020-02-28 14:15:00,short,4144.0,4160.0,2,-0.003861003861003861,时间止损
2020-03-02 14:30:00,2020-03-03 09:00:00,short,4098.0,4105.0,2,-0.001708150317227916,时间止损
2020-03-03 13:45:00,2020-03-03 14:15:00,short,4089.0,4070.0,2,0.0046466128637808754,时间止损
2020-03-03 14:45:00,2020-03-04 09:15:00,long,4071.0,4154.0,2,0.020388111029231146,分歧延续
2020-03-04 11:15:00,2020-03-04 13:45:00,short,4144.0,4157.0,2,-0.003137065637065637,时间止损
2020-03-09 11:15:00,2020-03-09 13:45:00,short,4106.0,3968.0,2,0.03360935216755967,分歧延续
2020-03-11 14:30:00,2020-03-12 09:00:00,short,4092.0,4045.0,2,0.011485826001955034,时间止损
2020-03-26 14:45:00,2020-03-27 09:15:00,short,3514.0,3566.0,2,-0.014797951052931132,时间止损
2020-03-27 10:45:00,2020-03-27 11:15:00,short,3562.0,3570.0,2,-0.0022459292532285235,时间止损
2020-03-31 13:45:00,2020-03-31 14:15:00,short,3418.0,3420.0,2,-0.0005851375073142189,时间止损
2020-04-02 11:15:00,2020-04-02 13:45:00,long,3417.0,3426.0,2,0.0026338893766461808,时间止损
2020-04-09 10:45:00,2020-04-09 11:15:00,short,3689.0,3688.0,2,0.0002710761724044456,时间止损
2020-04-10 14:15:00,2020-04-10 14:45:00,short,3734.0,3727.0,2,0.0018746652383502945,时间止损
2020-04-15 09:00:00,2020-04-15 09:30:00,short,3816.0,3804.0,2,0.0031446540880503146,时间止损
2020-04-15 14:30:00,2020-04-16 09:00:00,short,3766.0,3695.0,2,0.018852894317578334,分歧延续
2020-04-17 11:00:00,2020-04-17 13:30:00,long,3720.0,3710.0,2,-0.002688172043010753,时间止损
2020-04-17 14:00:00,2020-04-17 14:30:00,short,3646.0,3658.0,2,-0.0032912781130005485,时间止损
2020-04-20 14:15:00,2020-04-20 14:45:00,short,3666.0,3677.0,2,-0.003000545553737043,时间止损
2020-04-21 11:15:00,2020-04-21 13:45:00,short,3677.0,3672.0,2,0.0013598041881968997,时间止损
2020-04-27 10:30:00,2020-04-27 11:00:00,long,3708.0,3714.0,2,0.0016181229773462784,时间止损
2020-04-27 13:45:00,2020-04-27 14:15:00,short,3711.0,3700.0,2,0.0029641606036108865,时间止损
2020-04-28 10:30:00,2020-04-28 11:00:00,long,3635.0,3637.0,2,0.0005502063273727648,时间止损
2020-05-06 09:45:00,2020-05-06 10:30:00,long,3660.0,3653.0,2,-0.001912568306010929,时间止损
2020-05-06 23:45:00,2020-05-07 00:15:00,long,3653.0,3652.0,2,-0.0002737476047084588,时间止损
2020-05-07 00:45:00,2020-05-07 01:15:00,short,3649.0,3645.0,2,0.0010961907371882709,时间止损
2020-05-13 22:00:00,2020-05-13 22:30:00,long,3814.0,3824.0,2,0.0026219192448872575,时间止损
2020-05-14 10:30:00,2020-05-14 11:00:00,short,3818.0,3814.0,2,0.0010476689366160294,时间止损
2020-05-16 00:45:00,2020-05-16 01:15:00,short,4098.0,4104.0,2,-0.0014641288433382138,时间止损
2020-05-18 11:15:00,2020-05-18 13:45:00,short,4233.0,4246.0,2,-0.003071107961256792,时间止损
2020-05-19 22:45:00,2020-05-19 23:15:00,long,4284.0,4278.0,2,-0.0014005602240896359,时间止损
