session_id,instrument,timeframe,bar_index,timestamp,action,position_before,position_after,price_reference,setup_label,reason_label,quality,note,key_used
e593f2247554,AG99,15m,0,2019-04-12 21:00:00,skip,0,0,3544.0,,,,,RIGHT
e593f2247554,AG99,15m,1,2019-04-12 21:15:00,short,0,-1,3541.0,,,,,DOWN
e593f2247554,AG99,15m,2,2019-04-12 21:30:00,short,-1,-1,3540.0,,,,,DOWN
e593f2247554,AG99,15m,3,2019-04-12 21:45:00,flat,-1,0,3544.0,,,,,LEFT
e593f2247554,AG99,15m,4,2019-04-12 22:00:00,long,0,1,3549.0,,,,,UP
e593f2247554,AG99,15m,5,2019-04-12 22:15:00,skip,1,1,3551.0,,,,,RIGHT
e593f2247554,AG99,15m,6,2019-04-12 22:30:00,skip,1,1,3551.0,,,,,RIGHT
e593f2247554,AG99,15m,7,2019-04-12 22:45:00,skip,1,1,3546.0,,,,,RIGHT
e593f2247554,AG99,15m,8,2019-04-12 23:00:00,skip,1,1,3545.0,,,,,RIGHT
e593f2247554,AG99,15m,9,2019-04-12 23:15:00,skip,1,1,3545.0,,,,,RIGHT
e593f2247554,AG99,15m,10,2019-04-12 23:30:00,skip,1,1,3546.0,,,,,RIGHT
e593f2247554,AG99,15m,11,2019-04-12 23:45:00,flat,1,0,3544.0,,,,,LEFT
e593f2247554,AG99,15m,12,2019-04-13 00:00:00,short,0,-1,3541.0,,,,,DOWN
e593f2247554,AG99,15m,13,2019-04-13 00:15:00,flat,-1,0,3543.0,,,,,LEFT
e593f2247554,AG99,15m,14,2019-04-13 00:30:00,skip,0,0,3541.0,,,,,RIGHT
e593f2247554,AG99,15m,15,2019-04-13 00:45:00,skip,0,0,3541.0,,,,,RIGHT
e593f2247554,AG99,15m,16,2019-04-13 01:00:00,skip,0,0,3543.0,,,,,RIGHT
e593f2247554,AG99,15m,17,2019-04-13 01:15:00,skip,0,0,3541.0,,,,,RIGHT
e593f2247554,AG99,15m,18,2019-04-13 01:30:00,skip,0,0,3544.0,,,,,RIGHT
e593f2247554,AG99,15m,19,2019-04-13 01:45:00,skip,0,0,3541.0,,,,,RIGHT
e593f2247554,AG99,15m,20,2019-04-13 02:00:00,skip,0,0,3540.0,,,,,RIGHT
e593f2247554,AG99,15m,21,2019-04-13 02:15:00,skip,0,0,3540.0,,,,,RIGHT
e593f2247554,AG99,15m,22,2019-04-13 02:30:00,skip,0,0,3538.0,,,,,RIGHT
e593f2247554,AG99,15m,23,2019-04-15 09:00:00,skip,0,0,3534.0,,,,,RIGHT
e593f2247554,AG99,15m,24,2019-04-15 09:15:00,short,0,-1,3525.0,,,,,DOWN
e593f2247554,AG99,15m,25,2019-04-15 09:30:00,skip,-1,-1,3525.0,,,,,RIGHT
e593f2247554,AG99,15m,26,2019-04-15 09:45:00,skip,-1,-1,3526.0,,,,,RIGHT
e593f2247554,AG99,15m,27,2019-04-15 10:00:00,skip,-1,-1,3524.0,,,,,RIGHT
e593f2247554,AG99,15m,28,2019-04-15 10:15:00,skip,-1,-1,3522.0,,,,,RIGHT
e593f2247554,AG99,15m,29,2019-04-15 10:30:00,skip,-1,-1,3521.0,,,,,RIGHT
e593f2247554,AG99,15m,30,2019-04-15 10:45:00,skip,-1,-1,3524.0,,,,,RIGHT
e593f2247554,AG99,15m,31,2019-04-15 11:00:00,skip,-1,-1,3526.0,,,,,RIGHT
e593f2247554,AG99,15m,32,2019-04-15 11:15:00,skip,-1,-1,3525.0,,,,,RIGHT
e593f2247554,AG99,15m,33,2019-04-15 11:30:00,skip,-1,-1,3526.0,,,,,RIGHT
e593f2247554,AG99,15m,34,2019-04-15 13:30:00,skip,-1,-1,3525.0,,,,,RIGHT
e593f2247554,AG99,15m,35,2019-04-15 13:45:00,skip,-1,-1,3525.0,,,,,RIGHT
e593f2247554,AG99,15m,36,2019-04-15 14:00:00,skip,-1,-1,3522.0,,,,,RIGHT
e593f2247554,AG99,15m,37,2019-04-15 14:15:00,skip,-1,-1,3523.0,,,,,RIGHT
e593f2247554,AG99,15m,38,2019-04-15 14:30:00,skip,-1,-1,3520.0,,,,,RIGHT
e593f2247554,AG99,15m,39,2019-04-15 14:45:00,skip,-1,-1,3519.0,,,,,RIGHT
e593f2247554,AG99,15m,40,2019-04-15 15:00:00,skip,-1,-1,3519.0,,,,,RIGHT
e593f2247554,AG99,15m,41,2019-04-15 21:00:00,skip,-1,-1,3510.0,,,,,RIGHT
e593f2247554,AG99,15m,42,2019-04-15 21:15:00,flat,-1,0,3513.0,,,,,LEFT
e593f2247554,AG99,15m,43,2019-04-15 21:30:00,flat,0,0,3513.0,,,,,LEFT
e593f2247554,AG99,15m,44,2019-04-15 21:45:00,flat,0,0,3510.0,,,,,LEFT
e593f2247554,AG99,15m,45,2019-04-15 22:00:00,skip,0,0,3513.0,,,,,RIGHT
e593f2247554,AG99,15m,46,2019-04-15 22:15:00,skip,0,0,3513.0,,,,,RIGHT
e593f2247554,AG99,15m,47,2019-04-15 22:30:00,skip,0,0,3514.0,,,,,RIGHT
e593f2247554,AG99,15m,48,2019-04-15 22:45:00,skip,0,0,3518.0,,,,,RIGHT
e593f2247554,AG99,15m,49,2019-04-15 23:00:00,skip,0,0,3520.0,,,,,RIGHT
e593f2247554,AG99,15m,50,2019-04-15 23:15:00,skip,0,0,3520.0,,,,,RIGHT
e593f2247554,AG99,15m,51,2019-04-15 23:30:00,skip,0,0,3524.0,,,,,RIGHT
e593f2247554,AG99,15m,52,2019-04-15 23:45:00,long,0,1,3532.0,,,,,UP
e593f2247554,AG99,15m,53,2019-04-16 00:00:00,skip,1,1,3531.0,,,,,RIGHT
e593f2247554,AG99,15m,54,2019-04-16 00:15:00,skip,1,1,3532.0,,,,,RIGHT
e593f2247554,AG99,15m,55,2019-04-16 00:30:00,skip,1,1,3531.0,,,,,RIGHT
e593f2247554,AG99,15m,56,2019-04-16 00:45:00,skip,1,1,3535.0,,,,,RIGHT
e593f2247554,AG99,15m,57,2019-04-16 01:00:00,skip,1,1,3535.0,,,,,RIGHT
e593f2247554,AG99,15m,58,2019-04-16 01:15:00,skip,1,1,3533.0,,,,,RIGHT
e593f2247554,AG99,15m,59,2019-04-16 01:30:00,skip,1,1,3533.0,,,,,RIGHT
e593f2247554,AG99,15m,60,2019-04-16 01:45:00,skip,1,1,3532.0,,,,,RIGHT
e593f2247554,AG99,15m,61,2019-04-16 02:00:00,skip,1,1,3532.0,,,,,RIGHT
e593f2247554,AG99,15m,62,2019-04-16 02:15:00,skip,1,1,3532.0,,,,,RIGHT
e593f2247554,AG99,15m,63,2019-04-16 02:30:00,skip,1,1,3533.0,,,,,RIGHT
e593f2247554,AG99,15m,64,2019-04-16 09:00:00,skip,1,1,3529.0,,,,,RIGHT
e593f2247554,AG99,15m,65,2019-04-16 09:15:00,skip,1,1,3525.0,,,,,RIGHT
e593f2247554,AG99,15m,66,2019-04-16 09:30:00,skip,1,1,3526.0,,,,,RIGHT
e593f2247554,AG99,15m,67,2019-04-16 09:45:00,skip,1,1,3525.0,,,,,RIGHT
e593f2247554,AG99,15m,68,2019-04-16 10:00:00,skip,1,1,3522.0,,,,,RIGHT
e593f2247554,AG99,15m,69,2019-04-16 10:15:00,skip,1,1,3523.0,,,,,RIGHT
e593f2247554,AG99,15m,70,2019-04-16 10:30:00,skip,1,1,3523.0,,,,,RIGHT
e593f2247554,AG99,15m,71,2019-04-16 10:45:00,skip,1,1,3522.0,,,,,RIGHT
e593f2247554,AG99,15m,72,2019-04-16 11:00:00,skip,1,1,3520.0,,,,,RIGHT
e593f2247554,AG99,15m,73,2019-04-16 11:15:00,skip,1,1,3521.0,,,,,RIGHT
e593f2247554,AG99,15m,74,2019-04-16 11:30:00,skip,1,1,3520.0,,,,,RIGHT
e593f2247554,AG99,15m,75,2019-04-16 13:30:00,skip,1,1,3522.0,,,,,RIGHT
e593f2247554,AG99,15m,76,2019-04-16 13:45:00,skip,1,1,3521.0,,,,,RIGHT
e593f2247554,AG99,15m,77,2019-04-16 14:00:00,skip,1,1,3523.0,,,,,RIGHT
e593f2247554,AG99,15m,78,2019-04-16 14:15:00,skip,1,1,3527.0,,,,,RIGHT
e593f2247554,AG99,15m,79,2019-04-16 14:30:00,skip,1,1,3529.0,,,,,RIGHT
e593f2247554,AG99,15m,80,2019-04-16 14:45:00,skip,1,1,3529.0,,,,,RIGHT
e593f2247554,AG99,15m,81,2019-04-16 15:00:00,skip,1,1,3531.0,,,,,RIGHT
e593f2247554,AG99,15m,82,2019-04-16 21:00:00,skip,1,1,3518.0,,,,,RIGHT
e593f2247554,AG99,15m,83,2019-04-16 21:15:00,skip,1,1,3517.0,,,,,RIGHT
e593f2247554,AG99,15m,84,2019-04-16 21:30:00,flat,1,0,3516.0,,,,,LEFT
e593f2247554,AG99,15m,85,2019-04-16 21:45:00,long,0,1,3523.0,,,,,UP
e593f2247554,AG99,15m,86,2019-04-16 22:00:00,skip,1,1,3526.0,,,,,RIGHT
e593f2247554,AG99,15m,87,2019-04-16 22:15:00,skip,1,1,3523.0,,,,,RIGHT
e593f2247554,AG99,15m,88,2019-04-16 22:30:00,skip,1,1,3524.0,,,,,RIGHT
e593f2247554,AG99,15m,89,2019-04-16 22:45:00,skip,1,1,3525.0,,,,,RIGHT
e593f2247554,AG99,15m,90,2019-04-16 23:00:00,skip,1,1,3530.0,,,,,RIGHT
e593f2247554,AG99,15m,91,2019-04-16 23:15:00,skip,1,1,3528.0,,,,,RIGHT
e593f2247554,AG99,15m,92,2019-04-16 23:30:00,skip,1,1,3524.0,,,,,RIGHT
e593f2247554,AG99,15m,93,2019-04-16 23:45:00,skip,1,1,3526.0,,,,,RIGHT
e593f2247554,AG99,15m,94,2019-04-17 00:00:00,skip,1,1,3527.0,,,,,RIGHT
e593f2247554,AG99,15m,95,2019-04-17 00:15:00,skip,1,1,3526.0,,,,,RIGHT
e593f2247554,AG99,15m,96,2019-04-17 00:30:00,skip,1,1,3525.0,,,,,RIGHT
e593f2247554,AG99,15m,97,2019-04-17 00:45:00,skip,1,1,3526.0,,,,,RIGHT
e593f2247554,AG99,15m,98,2019-04-17 01:00:00,skip,1,1,3525.0,,,,,RIGHT
e593f2247554,AG99,15m,99,2019-04-17 01:15:00,skip,1,1,3526.0,,,,,RIGHT
e593f2247554,AG99,15m,100,2019-04-17 01:30:00,skip,1,1,3528.0,,,,,RIGHT
e593f2247554,AG99,15m,101,2019-04-17 01:45:00,skip,1,1,3526.0,,,,,RIGHT
e593f2247554,AG99,15m,102,2019-04-17 02:00:00,skip,1,1,3527.0,,,,,RIGHT
e593f2247554,AG99,15m,103,2019-04-17 02:15:00,skip,1,1,3528.0,,,,,RIGHT
e593f2247554,AG99,15m,104,2019-04-17 02:30:00,skip,1,1,3528.0,,,,,RIGHT
e593f2247554,AG99,15m,105,2019-04-17 09:00:00,skip,1,1,3526.0,,,,,RIGHT
e593f2247554,AG99,15m,106,2019-04-17 09:15:00,skip,1,1,3527.0,,,,,RIGHT
e593f2247554,AG99,15m,107,2019-04-17 09:30:00,skip,1,1,3529.0,,,,,RIGHT
e593f2247554,AG99,15m,108,2019-04-17 09:45:00,skip,1,1,3529.0,,,,,RIGHT
e593f2247554,AG99,15m,109,2019-04-17 10:00:00,skip,1,1,3532.0,,,,,RIGHT
e593f2247554,AG99,15m,110,2019-04-17 10:15:00,skip,1,1,3533.0,,,,,RIGHT
e593f2247554,AG99,15m,111,2019-04-17 10:30:00,skip,1,1,3532.0,,,,,RIGHT
e593f2247554,AG99,15m,112,2019-04-17 10:45:00,skip,1,1,3531.0,,,,,RIGHT
e593f2247554,AG99,15m,113,2019-04-17 11:00:00,skip,1,1,3531.0,,,,,RIGHT
e593f2247554,AG99,15m,114,2019-04-17 11:15:00,skip,1,1,3530.0,,,,,RIGHT
e593f2247554,AG99,15m,115,2019-04-17 11:30:00,skip,1,1,3529.0,,,,,RIGHT
e593f2247554,AG99,15m,116,2019-04-17 13:30:00,skip,1,1,3534.0,,,,,RIGHT
e593f2247554,AG99,15m,117,2019-04-17 13:45:00,skip,1,1,3534.0,,,,,RIGHT
e593f2247554,AG99,15m,118,2019-04-17 14:00:00,skip,1,1,3532.0,,,,,RIGHT
e593f2247554,AG99,15m,119,2019-04-17 14:15:00,skip,1,1,3535.0,,,,,RIGHT
e593f2247554,AG99,15m,120,2019-04-17 14:30:00,skip,1,1,3534.0,,,,,RIGHT
e593f2247554,AG99,15m,121,2019-04-17 14:45:00,skip,1,1,3533.0,,,,,RIGHT
e593f2247554,AG99,15m,122,2019-04-17 15:00:00,skip,1,1,3531.0,,,,,RIGHT
e593f2247554,AG99,15m,123,2019-04-17 21:00:00,skip,1,1,3538.0,,,,,RIGHT
e593f2247554,AG99,15m,124,2019-04-17 21:15:00,skip,1,1,3536.0,,,,,RIGHT
e593f2247554,AG99,15m,125,2019-04-17 21:30:00,skip,1,1,3532.0,,,,,RIGHT
e593f2247554,AG99,15m,126,2019-04-17 21:45:00,skip,1,1,3529.0,,,,,RIGHT
e593f2247554,AG99,15m,127,2019-04-17 22:00:00,skip,1,1,3528.0,,,,,RIGHT
e593f2247554,AG99,15m,128,2019-04-17 22:15:00,skip,1,1,3523.0,,,,,RIGHT
e593f2247554,AG99,15m,129,2019-04-17 22:30:00,skip,1,1,3525.0,,,,,RIGHT
e593f2247554,AG99,15m,130,2019-04-17 22:45:00,skip,1,1,3522.0,,,,,RIGHT
e593f2247554,AG99,15m,131,2019-04-17 23:00:00,skip,1,1,3524.0,,,,,RIGHT
e593f2247554,AG99,15m,132,2019-04-17 23:15:00,skip,1,1,3525.0,,,,,RIGHT
e593f2247554,AG99,15m,133,2019-04-17 23:30:00,skip,1,1,3525.0,,,,,RIGHT
e593f2247554,AG99,15m,134,2019-04-17 23:45:00,skip,1,1,3525.0,,,,,RIGHT
e593f2247554,AG99,15m,135,2019-04-18 00:00:00,skip,1,1,3522.0,,,,,RIGHT
e593f2247554,AG99,15m,136,2019-04-18 00:15:00,skip,1,1,3520.0,,,,,RIGHT
e593f2247554,AG99,15m,137,2019-04-18 00:30:00,skip,1,1,3520.0,,,,,RIGHT
e593f2247554,AG99,15m,138,2019-04-18 00:45:00,skip,1,1,3524.0,,,,,RIGHT
e593f2247554,AG99,15m,139,2019-04-18 01:00:00,skip,1,1,3522.0,,,,,RIGHT
e593f2247554,AG99,15m,140,2019-04-18 01:15:00,skip,1,1,3525.0,,,,,RIGHT
e593f2247554,AG99,15m,141,2019-04-18 01:30:00,skip,1,1,3525.0,,,,,RIGHT
e593f2247554,AG99,15m,142,2019-04-18 01:45:00,skip,1,1,3525.0,,,,,RIGHT
e593f2247554,AG99,15m,143,2019-04-18 02:00:00,skip,1,1,3525.0,,,,,RIGHT
e593f2247554,AG99,15m,144,2019-04-18 02:15:00,skip,1,1,3525.0,,,,,RIGHT
e593f2247554,AG99,15m,145,2019-04-18 02:30:00,skip,1,1,3522.0,,,,,RIGHT
e593f2247554,AG99,15m,146,2019-04-18 09:00:00,skip,1,1,3522.0,,,,,RIGHT
